overall_status,special_case,output_pptx,generated_pptx_path,file_exists,can_open,open_error,slide_count,expected_slide_count,slide_count_reasonable,has_title_slide,title_slide_text,has_recap_slide,has_quiz_checkpoint_slide,speaker_notes_expected,speaker_notes_slide_count,speaker_notes_ok,speaker_notes_have_generated_marker,used_temporary_repair,recorded_in_segment_csv,duplicate_output_filename,segment_csv,segment_csv_row,lecture_number,lecture_title,video_number,video_title,review_status,original_pptx,original_file_exists,original_unmodified_during_audit
pass,,4/lecture_04_video_01_generalization_validation_and_regularized_loss.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\4\lecture_04_video_01_generalization_validation_and_regularized_loss.pptx,yes,yes,,21,21,yes,yes,"Generalization, Validation, and Regularized Loss",yes,yes,yes,21,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\4_video_segments.csv,2,4,Overfit & Underfit,1,"Generalization, Validation, and Regularized Loss",approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\4  - Overfit & Underfit.pptx,yes,yes
pass,,4/lecture_04_video_02_regularization_geometry_and_training_controls.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\4\lecture_04_video_02_regularization_geometry_and_training_controls.pptx,yes,yes,,24,24,yes,yes,Regularization Geometry and Training Controls,yes,yes,yes,24,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\4_video_segments.csv,3,4,Overfit & Underfit,2,Regularization Geometry and Training Controls,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\4  - Overfit & Underfit.pptx,yes,yes
pass,,5/lecture_05_video_01_early_cnn_milestones.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\5\lecture_05_video_01_early_cnn_milestones.pptx,yes,yes,,17,17,yes,yes,Early CNN Milestones,yes,yes,yes,17,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\5_video_segments.csv,2,5,Modern CNN,1,Early CNN Milestones,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\5  - Modern CNN.pptx,yes,yes
pass,,5/lecture_05_video_02_depth_vgg_and_the_degradation_problem.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\5\lecture_05_video_02_depth_vgg_and_the_degradation_problem.pptx,yes,yes,,22,22,yes,yes,"Depth, VGG, and the Degradation Problem",yes,yes,yes,22,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\5_video_segments.csv,3,5,Modern CNN,2,"Depth, VGG, and the Degradation Problem",approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\5  - Modern CNN.pptx,yes,yes
pass,,5/lecture_05_video_03_resnet_and_inception_design_patterns.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\5\lecture_05_video_03_resnet_and_inception_design_patterns.pptx,yes,yes,,20,20,yes,yes,ResNet and Inception Design Patterns,yes,yes,yes,20,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\5_video_segments.csv,4,5,Modern CNN,3,ResNet and Inception Design Patterns,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\5  - Modern CNN.pptx,yes,yes
pass,,5/lecture_05_video_04_efficient_cnns_and_modern_design_principles.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\5\lecture_05_video_04_efficient_cnns_and_modern_design_principles.pptx,yes,yes,,22,22,yes,yes,Efficient CNNs and Modern Design Principles,yes,yes,yes,22,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\5_video_segments.csv,5,5,Modern CNN,4,Efficient CNNs and Modern Design Principles,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\5  - Modern CNN.pptx,yes,yes
pass,,6/lecture_06_video_01_semantic_segmentation_and_fully_convolutional_networks.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\6\lecture_06_video_01_semantic_segmentation_and_fully_convolutional_networks.pptx,yes,yes,,15,15,yes,yes,Semantic Segmentation and Fully Convolutional Networks,yes,yes,yes,15,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\6_video_segments.csv,2,6,Segmentation,1,Semantic Segmentation and Fully Convolutional Networks,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\6  - Segmentation.pptx,yes,yes
pass,,6/lecture_06_video_02_u_net_structure_and_upsampling_choices.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\6\lecture_06_video_02_u_net_structure_and_upsampling_choices.pptx,yes,yes,,15,15,yes,yes,U-Net Structure and Upsampling Choices,yes,yes,yes,15,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\6_video_segments.csv,3,6,Segmentation,2,U-Net Structure and Upsampling Choices,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\6  - Segmentation.pptx,yes,yes
pass,,6/lecture_06_video_03_transposed_convolution_mechanics_and_artifacts.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\6\lecture_06_video_03_transposed_convolution_mechanics_and_artifacts.pptx,yes,yes,,20,20,yes,yes,Transposed Convolution Mechanics and Artifacts,yes,yes,yes,20,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\6_video_segments.csv,4,6,Segmentation,3,Transposed Convolution Mechanics and Artifacts,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\6  - Segmentation.pptx,yes,yes
pass,,7/lecture_07_video_01_rnns_lstm_gates_and_pytorch_workflow.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\7\lecture_07_video_01_rnns_lstm_gates_and_pytorch_workflow.pptx,yes,yes,,26,26,yes,yes,"RNNs, LSTM Gates, and PyTorch Workflow",yes,yes,yes,26,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\7_video_segments.csv,2,7,LSTM,1,"RNNs, LSTM Gates, and PyTorch Workflow",approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\7 - LSTM.pptx,yes,yes
pass,,7/lecture_07_video_02_sequence_variants_and_seq2seq_generation.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\7\lecture_07_video_02_sequence_variants_and_seq2seq_generation.pptx,yes,yes,,18,18,yes,yes,Sequence Variants and Seq2Seq Generation,yes,yes,yes,18,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\7_video_segments.csv,3,7,LSTM,2,Sequence Variants and Seq2Seq Generation,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\7 - LSTM.pptx,yes,yes
pass,,7/lecture_07_video_03_image_captioning_with_lstms.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\7\lecture_07_video_03_image_captioning_with_lstms.pptx,yes,yes,,12,12,yes,yes,Image Captioning with LSTMs,yes,yes,yes,12,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\7_video_segments.csv,4,7,LSTM,3,Image Captioning with LSTMs,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\7 - LSTM.pptx,yes,yes
pass,,8/lecture_08_video_01_seq2seq_bottlenecks_and_attention.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\8\lecture_08_video_01_seq2seq_bottlenecks_and_attention.pptx,yes,yes,,21,21,yes,yes,Seq2Seq Bottlenecks and Attention,yes,yes,yes,21,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\8_video_segments.csv,2,8,Transformer,1,Seq2Seq Bottlenecks and Attention,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\8 -Transformer.pptx,yes,yes
pass,,8/lecture_08_video_02_self_attention_and_qkv_computation.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\8\lecture_08_video_02_self_attention_and_qkv_computation.pptx,yes,yes,,16,16,yes,yes,Self-Attention and QKV Computation,yes,yes,yes,16,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\8_video_segments.csv,3,8,Transformer,2,Self-Attention and QKV Computation,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\8 -Transformer.pptx,yes,yes
pass,,8/lecture_08_video_03_positional_encoding_and_transformer_blocks.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\8\lecture_08_video_03_positional_encoding_and_transformer_blocks.pptx,yes,yes,,19,19,yes,yes,Positional Encoding and Transformer Blocks,yes,yes,yes,19,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\8_video_segments.csv,4,8,Transformer,3,Positional Encoding and Transformer Blocks,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\8 -Transformer.pptx,yes,yes
pass,,9/lecture_09_video_01_llm_inputs_and_transformer_advantage.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\9\lecture_09_video_01_llm_inputs_and_transformer_advantage.pptx,yes,yes,,11,11,yes,yes,LLM Inputs and Transformer Advantage,yes,yes,yes,11,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\9_video_segments.csv,2,9,LLM,1,LLM Inputs and Transformer Advantage,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\9 - LLM.pptx,yes,yes
pass,,9/lecture_09_video_02_bert_gpt_and_pretraining_objectives.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\9\lecture_09_video_02_bert_gpt_and_pretraining_objectives.pptx,yes,yes,,16,16,yes,yes,"BERT, GPT, and Pretraining Objectives",yes,yes,yes,16,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\9_video_segments.csv,3,9,LLM,2,"BERT, GPT, and Pretraining Objectives",approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\9 - LLM.pptx,yes,yes
pass,,9/lecture_09_video_03_prompting_scaling_and_alignment.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\9\lecture_09_video_03_prompting_scaling_and_alignment.pptx,yes,yes,,14,14,yes,yes,"Prompting, Scaling, and Alignment",yes,yes,yes,14,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\9_video_segments.csv,4,9,LLM,3,"Prompting, Scaling, and Alignment",approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\9 - LLM.pptx,yes,yes
pass,,10/lecture_10_video_01_vision_transformer_core_architecture.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\10\lecture_10_video_01_vision_transformer_core_architecture.pptx,yes,yes,,26,26,yes,yes,Vision Transformer Core Architecture,yes,yes,yes,26,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\10_video_segments.csv,2,10,VIT,1,Vision Transformer Core Architecture,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\10 - VIT.pptx,yes,yes
pass,,10/lecture_10_video_02_data_efficient_vision_transformers.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\10\lecture_10_video_02_data_efficient_vision_transformers.pptx,yes,yes,,18,18,yes,yes,Data-Efficient Vision Transformers,yes,yes,yes,18,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\10_video_segments.csv,3,10,VIT,2,Data-Efficient Vision Transformers,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\10 - VIT.pptx,yes,yes
pass,,10/lecture_10_video_03_swin_transformer_hierarchy_and_shifted_windows.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\10\lecture_10_video_03_swin_transformer_hierarchy_and_shifted_windows.pptx,yes,yes,,23,23,yes,yes,Swin Transformer Hierarchy and Shifted Windows,yes,yes,yes,23,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\10_video_segments.csv,4,10,VIT,3,Swin Transformer Hierarchy and Shifted Windows,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\10 - VIT.pptx,yes,yes
pass,,10/lecture_10_video_04_vision_transformer_extensions_and_multimodal_models.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\10\lecture_10_video_04_vision_transformer_extensions_and_multimodal_models.pptx,yes,yes,,15,15,yes,yes,Vision Transformer Extensions and Multimodal Models,yes,yes,yes,15,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\10_video_segments.csv,5,10,VIT,4,Vision Transformer Extensions and Multimodal Models,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\10 - VIT.pptx,yes,yes
pass,,10/lecture_10_video_05_vision_transformer_summary_and_backup.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\10\lecture_10_video_05_vision_transformer_summary_and_backup.pptx,yes,yes,,8,8,yes,yes,Vision Transformer Summary and Backup,yes,yes,yes,8,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\10_video_segments.csv,6,10,VIT,5,Vision Transformer Summary and Backup,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\10 - VIT.pptx,yes,yes
pass,,11/lecture_11_video_01_generative_modeling_foundations.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\11\lecture_11_video_01_generative_modeling_foundations.pptx,yes,yes,,11,11,yes,yes,Generative Modeling Foundations,yes,yes,yes,11,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\11_video_segments.csv,2,11,Generative Model,1,Generative Modeling Foundations,approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\11 - Generative Model.pptx,yes,yes
pass,,11/lecture_11_video_02_autoencoders_vaes_and_latent_spaces.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\11\lecture_11_video_02_autoencoders_vaes_and_latent_spaces.pptx,yes,yes,,8,8,yes,yes,"Autoencoders, VAEs, and Latent Spaces",yes,yes,yes,8,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\11_video_segments.csv,3,11,Generative Model,2,"Autoencoders, VAEs, and Latent Spaces",approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\11 - Generative Model.pptx,yes,yes
pass,,11/lecture_11_video_03_gans_diffusion_and_generative_model_summary.pptx,H:\My Drive\Teaching\ECE591_Online\02_Revised_Slides\11\lecture_11_video_03_gans_diffusion_and_generative_model_summary.pptx,yes,yes,,9,9,yes,yes,"GANs, Diffusion, and Generative Model Summary",yes,yes,yes,9,yes,yes,no,yes,no,C:\Users\Rick Eason\Downloads\deep-learning-course-automation\manifests\video_segments\11_video_segments.csv,4,11,Generative Model,3,"GANs, Diffusion, and Generative Model Summary",approved_for_pptx,H:\My Drive\Teaching\ECE591_Online\01_Original_Slides\11 - Generative Model.pptx,yes,yes
