lecture_number,lecture_title,video_number,video_title,script_path,slide_count,target_recording_minutes,declared_slide_minutes_total,estimated_read_aloud_words,estimated_minutes_at_130_wpm,estimated_minutes_at_140_wpm,estimated_minutes_at_150_wpm,timing_assessment,is_truly_word_for_word_score_1_5,natural_read_aloud_score_1_5,slide_content_clarity_score_1_5,avoids_bullet_point_sound_score_1_5,technical_terms_score_1_5,transition_smoothness_score_1_5,under_explained_score_1_5,overall_score,review_decision,generic_phrase_count,meta_instruction_phrase_count,repetitive_transition_count,missing_narration_slides,slides_may_need_more_visual_explanation,under_explained_slides,slides_where_script_may_be_too_long,technical_accuracy_risk_slides,review_notes
11,Generative Model,1,Generative Modeling Foundations,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\11\11_1_Generative_Modeling_Foundations_exact_script.md,11,7.7,7.7,1443,11.1,10.3,9.6,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,4: Unsupervised Learning Example: K-Means Clustering; 9: Main Families of Generative Models,,,,Looks like direct read-aloud narration with only minor polish needed.
11,Generative Model,2,"Autoencoders, VAEs, and Latent Spaces",H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\11\11_2_Autoencoders_VAEs_and_Latent_Spaces_exact_script.md,8,6.4,6.4,1431,11.0,10.2,9.5,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,"2: Autoencoders: Learn by Reconstructing; 3: Autoencoders: How It Is Trained; 4: Why Autoencoders Matter, and Their Limitation; 5: Variational Autoencoder: From Input to a Sampleable Latent Space; 6: VAE Demo",,,,Looks like direct read-aloud narration with only minor polish needed.
11,Generative Model,3,"GANs, Diffusion, and Generative Model Summary",H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\11\11_3_GANs_Diffusion_and_Generative_Model_Summary_exact_script.md,9,7.6,7.6,1504,11.6,10.7,10.0,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,"2: Generative Adversarial Networks (GANs); 3: GAN Training: Two Losses, Two Goals; 4: GAN: Strengths and Weaknesses; 5: Diffusion Models; 6: Latent Conditional Diffusion Model; 7: Summary: Main Ideas of Generative Models",,,,Looks like direct read-aloud narration with only minor polish needed.
2,Metrics,1,Confusion Matrices and Core Classification Metrics,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\2\2_1_Confusion_Matrices_and_Core_Classification_Metrics_exact_script.md,17,14.3,14.3,2237,17.2,16.0,14.9,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,6: From Scores to Class Decisions; 7: Confusion Matrix at Threshold 0.5; 8: Accuracy from the Confusion Matrix; 9: Limitation of Accuracy; 10: Imbalanced Data; 11: Sensitivity vs Specificity; 12: Precision,11: Sensitivity vs Specificity (56 words); 11: Sensitivity vs Specificity (visual explanation short),,,2 potentially under-explained slide(s)
2,Metrics,2,"Threshold Tradeoffs, ROC Curves, and Metric Selection",H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\2\2_2_Threshold_Tradeoffs_ROC_Curves_and_Metric_Selection_exact_script.md,21,22.9,22.9,3241,24.9,23.1,21.6,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,"4: Discussion 2: Analysis; 5: Discussion 3: Precision vs Sensitivity, Which One Matters?; 6: Discussion 4: Precision vs Sensitivity Which one Matters?; 7: Intrusion Follow-up; 8: Alexa: Most Important Metric is Precision; 9: Receiver Operating Characteristics (ROC) curve; 10: Receiver Operating Characteristics (ROC) curve: Demo; 11: Threshold Scanning; 12: Classification: ROC curve; 13: AUC interpretation; 14: AUC for ROC curves; 15: Discussion: ROC and AUC; 16: Discussion 5: What Does AUC Really Measure?; 19: Metric Selection Strategy",18: Evaluating Classifiers: Summary (63 words),,,1 potentially under-explained slide(s)
3,Loss Function,1,Loss Functions and Gradient Descent,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\3\3_1_Loss_Functions_and_Gradient_Descent_exact_script.md,19,23.8,23.8,3344,25.7,23.9,22.3,reasonable_for_read_aloud,5,5,5,5,3,5,5,4.75,acceptable_with_minor_polish,0,0,0,,3: Model = Score Function + Loss Function; 4: Mathematical Model; 13: What Does the Gradient Represent?,,,15: Big vs Small Learning Rate in Optimization may be treated as math without clear equation text; 16: Effect of Learning Rates may be treated as math without clear equation text; 17: Comparing Different Optimization Algorithms may be treated as math without clear equation text,3 technical wording risk(s)
3,Loss Function,2,Linear Classifier Scores,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\3\3_2_Linear_Classifier_Scores_exact_script.md,10,10.7,10.7,1582,12.2,11.3,10.5,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,,,,,Looks like direct read-aloud narration with only minor polish needed.
3,Loss Function,3,Softmax and Cross-Entropy,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\3\3_3_Softmax_and_Cross_Entropy_exact_script.md,18,23.6,23.6,2930,22.5,20.9,19.5,reasonable_for_read_aloud,5,5,5,5,4,5,5,4.88,acceptable_with_minor_polish,0,0,0,,2: Softmax,16: Summary (55 words),,10: Entropy and Information Gain may be treated as math without clear equation text,1 potentially under-explained slide(s) | 1 technical wording risk(s)
4,Overfit & Underfit,1,"Generalization, Validation, and Regularized Loss",H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\4\4_1_Generalization_Validation_and_Regularized_Loss_exact_script.md,21,18.3,18.3,2504,19.3,17.9,16.7,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,11: Training vs Test Error,,,,Looks like direct read-aloud narration with only minor polish needed.
4,Overfit & Underfit,2,Regularization Geometry and Training Controls,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\4\4_2_Regularization_Geometry_and_Training_Controls_exact_script.md,24,22.0,22.0,3441,26.5,24.6,22.9,reasonable_for_read_aloud,5,5,5,5,3,5,5,4.75,acceptable_with_minor_polish,0,0,0,,2: Understanding the Contours with L1 Regularization; 8: Shrinkage vs. Sparsity; 11: What Is Dropout?; 13: Dropout: Training vs Test; 15: Data augmentation; 16: Data augmentation: More examples,,,3: 2D Example with L1 Regularization may be treated as math without clear equation text; 4: L1 Regularization: Geometry Without Constraint may be treated as math without clear equation text; 5: Adding the L1 Constraint (Diamond Region) may be treated as math without clear equation text; 6: Tangency Principle: Where Is the Optimal Solution? may be treated as math without clear equation text,4 technical wording risk(s)
5,Modern CNN,1,Early CNN Milestones,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\5\5_1_Early_CNN_Milestones_exact_script.md,17,14.4,14.4,2203,16.9,15.7,14.7,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,2: Modern CNN Architecture; 4: Evolution of networks; 5: Foundation Era Summary (1998-2014); 6: LeNet-5 (1998): The First Successful CNN; 7: LeNet-5 (1998): Why Convolution Works; 8: AlexNet (2012): Starting Modern Deep Learning; 9: AlexNet Architecture (2012): Large-Scale CNN Design; 10: Inside AlexNet: Layer Configuration and Feature Maps; 11: AlexNet; 12: Simplified AlexNet in PyTorch (Teaching Version); 14: Global Average Pooling (GAP); 15: Global Average Pooling Enables Variable Input Size,,,,Looks like direct read-aloud narration with only minor polish needed.
5,Modern CNN,2,"Depth, VGG, and the Degradation Problem",H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\5\5_2_Depth_VGG_and_the_Degradation_Problem_exact_script.md,22,22.4,22.4,2979,22.9,21.3,19.9,reasonable_for_read_aloud,5,5,5,5,3,5,5,4.75,acceptable_with_minor_polish,0,0,0,,2: Batch Normalization; 5: Why Depth Matters in Practice; 6: Real-World Vision Is Hierarchical; 9: conv; 11: VGG 16; 12: Where Does VGG Spend Memory and Parameters?; 13: Depth Enables Structured Feature Reuse; 16: Degradation Problem in Deep Networks; 18: Why Gradients Vanish,,,14: Overview may be treated as math without clear equation text; 15: Is Deeper Always Better? may be treated as math without clear equation text; 16: Degradation Problem in Deep Networks may be treated as math without clear equation text,3 technical wording risk(s)
5,Modern CNN,3,ResNet and Inception Design Patterns,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\5\5_3_ResNet_and_Inception_Design_Patterns_exact_script.md,20,16.7,16.7,3046,23.4,21.8,20.3,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,3: Can We Make Deep Networks Easier to Optimize?; 4: ResNet (2015): Making Depth Trainable; 5: ResNet Architecture; 6: Why ResNet Works; 7: ResNet's Impact; 8: Summary of CNN Design Principles; 10: CNN Design Evolution Pattern; 11: Why Optimization Was Not the End; 12: Computation in Convolution; 13: The Problem: What Kernel Size Should We Use?; 14: Inception: Multi-Scale Parallel Design; 15: 1x1 Convolution as a Bottleneck; 16: Inception = Parallel Branches + Channel Concatenation; 17: Inception V2: Factorizing Large Kernels; 18: Inception V2: Asymmetric Factorization,,,,Looks like direct read-aloud narration with only minor polish needed.
5,Modern CNN,4,Efficient CNNs and Modern Design Principles,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\5\5_4_Efficient_CNNs_and_Modern_Design_Principles_exact_script.md,22,19.1,19.1,2705,20.8,19.3,18.0,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,"2: MobileNet (2017): Accuracy Under Constraint; 3: Depthwise Separable Convolution; 4: DenseNet (2017): Every Layer Connects to All Previous Layers; 5: DenseNet: Why Concatenation?; 9: DenseNet: Summary; 10: How Should We Scale CNNs?; 12: Compound Scaling: Scaling Depth, Width, and Resolution Together; 13: EfficientNet Backbone: MBConv Blocks with SE and Swish; 14: Swish Activation; 15: MBConv: Mobile Inverted Bottleneck Convolution; 16: Squeeze-and-Excitation (SE): Channel Attention Mechanism; 17: EfficientNet Family; 18: Modern CNN Design Principles",6: DenseNet: Growth Rate Concept (68 words),,,1 potentially under-explained slide(s)
6,Segmentation,1,Semantic Segmentation and Fully Convolutional Networks,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\6\6_1_Semantic_Segmentation_and_Fully_Convolutional_Networks_exact_script.md,15,12.1,12.1,2038,15.7,14.6,13.6,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,"3: What is Semantic Segmentation?; 4: Why Sliding Windows Fail?; 5: Better Approach; 6: Fully Convolutional Inference; 7: From Image Classification to Semantic Segmentation; 8: Becoming fully convolutional; 9: Becoming fully convolutional; 10: Upsampling output; 11: End-to-end, pixels-to-pixels network; 12: end-to-end, pixels-to-pixels network; 13: Fully Convolutional Network","10: Upsampling output (68 words); 11: End-to-end, pixels-to-pixels network (62 words); 11: End-to-end, pixels-to-pixels network (visual explanation short)",,,3 potentially under-explained slide(s)
6,Segmentation,2,U-Net Structure and Upsampling Choices,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\6\6_2_U_Net_Structure_and_Upsampling_Choices_exact_script.md,15,13.1,13.1,1871,14.4,13.4,12.5,reasonable_for_read_aloud,5,5,5,5,4,5,5,4.88,acceptable_with_minor_polish,0,0,0,,"3: end-to-end, pixels-to-pixels network; 4: U-NET Architecture; 5: U-NET Architecture; 6: Downsampling: Reducing Spatial Resolution; 9: Unpooling Using Pooling Indices; 10: Up-Sampling in Practice (PyTorch); 11: Up-Sampling in Practice (PyTorch); 12: Interpolation-Based Upsampling; 13: Bilinear interpolation Formula","3: end-to-end, pixels-to-pixels network (62 words); 3: end-to-end, pixels-to-pixels network (visual explanation short); 6: Downsampling: Reducing Spatial Resolution (69 words)",,13: Bilinear interpolation Formula may be treated as math without clear equation text,3 potentially under-explained slide(s) | 1 technical wording risk(s)
6,Segmentation,3,Transposed Convolution Mechanics and Artifacts,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\6\6_3_Transposed_Convolution_Mechanics_and_Artifacts_exact_script.md,20,25.3,25.3,4226,32.5,30.2,28.2,reasonable_for_read_aloud,5,5,5,5,3,5,5,4.75,acceptable_with_minor_polish,0,0,0,,2: Overlapping Contributions in Transposed Convolution; 3: A Conv2DTranspose with 3x3 kernel (seen explicitly) applied to a 4x4 input to give a 6x6 output.; 4: A Conv2DTranspose with 3x3 kernel (seen explicitly) applied to a 4x4 input to give a 6x6 output.; 5: A Conv2DTranspose with 3x3 kernel (seen explicitly) applied to a 4x4 input to give a 6x6 output.; 6: A Conv2DTranspose with 3x3 kernel (seen explicitly) applied to a 4x4 input to give a 6x6 output.; 7: Transposed Convolution (Stride = 1); 8: Stride = 2 vs. Stride = 1; 9: Matrix View of Convolution; 10: Convolution: Flatten the input and output; 11: Matrix View of Convolution; 12: Expanding the Grid by Inserting Zeros; 13: Transposed Convolution as a Transpose Operation; 14: Transpose convolution: Flatten the input; 15: Matrix View of Transposed Convolution; 16: Worked Example: Stride-2 Transposed Convolution; 17: Limitations of Transposed Convolution: Checkerboard Artifacts; 18: Summary,17: Limitations of Transposed Convolution: Checkerboard Artifacts (66 words); 18: Summary (66 words),,9: Matrix View of Convolution may be treated as math without clear equation text; 10: Convolution: Flatten the input and output may be treated as math without clear equation text; 11: Matrix View of Convolution may be treated as math without clear equation text; 12: Expanding the Grid by Inserting Zeros may be treated as math without clear equation text; 13: Transposed Convolution as a Transpose Operation may be treated as math without clear equation text; 14: Transpose convolution: Flatten the input may be treated as math without clear equation text; 15: Matrix View of Transposed Convolution may be treated as math without clear equation text,2 potentially under-explained slide(s) | 7 technical wording risk(s)
7,LSTM,1,"RNNs, LSTM Gates, and PyTorch Workflow",H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\7\7_1_RNNs_LSTM_Gates_and_PyTorch_Workflow_exact_script.md,26,25.7,25.7,3349,25.8,23.9,22.3,reasonable_for_read_aloud,5,5,4,5,5,5,4,4.75,acceptable_with_minor_polish,0,0,0,,2: Recurrent Neural Networks LSTM Fundamentals and Sequence Modeling with PyTorch; 3: Image -> Sequence; 6: Frame Sequence -> Label; 7: Recurrent Neural Network (RNN); 8: RNN Parameter Sharing Across Time; 9: Why Standard RNNs Struggle with Long-Term Dependencies; 10: LSTM Cell Overview; 11: LSTM; 12: LSTM; 13: Forget Gate; 14: Activation Functions in LSTM: Sigmoid and Tanh; 15: Input Gate; 16: Cell State Update; 17: Output gate; 18: Parameter count = 4 h(h + x + 1); 19: Affine Transformation; 20: Multi-Layer LSTM; 21: PyTorch API: nn.LSTM; 22: nn.LSTM: Initial States; 23: LSTM Workflow in PyTorch: Define the Model; 24: LSTM Workflow in PyTorch: Train and Inference,11: LSTM (61 words); 11: LSTM (visual explanation short); 12: LSTM (60 words); 12: LSTM (visual explanation short); 13: Forget Gate (67 words),,,5 potentially under-explained slide(s)
7,LSTM,2,Sequence Variants and Seq2Seq Generation,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\7\7_2_Sequence_Variants_and_Seq2Seq_Generation_exact_script.md,18,19.9,19.9,2219,17.1,15.8,14.8,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,2: One-to-Many Sequence Model; 5: Seq-to-Seq Sequence Model; 6: Bidirectional LSTM; 7: Seq2Seq Models for Response Generation,2: One-to-Many Sequence Model (65 words); 5: Seq-to-Seq Sequence Model (65 words); 6: Bidirectional LSTM (66 words),,,3 potentially under-explained slide(s)
7,LSTM,3,Image Captioning with LSTMs,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\7\7_3_Image_Captioning_with_LSTMs_exact_script.md,12,13.0,13.0,1680,12.9,12.0,11.2,reasonable_for_read_aloud,5,5,5,5,5,5,5,5.0,acceptable_with_minor_polish,0,0,0,,9: Generating Text Descriptions for Images; 10: LSTM Summary,,,,Looks like direct read-aloud narration with only minor polish needed.
8,Transformer,1,Seq2Seq Bottlenecks and Attention,H:\My Drive\Teaching\ECE591_Online\03_Scripts\exact_scripts\8\8_1_Seq2Seq_Bottlenecks_and_Attention_exact_script.md,21,19.0,19.0,3240,24.9,23.1,21.6,reasonable_for_read_aloud,5,5,4,5,5,5,5,4.88,acceptable_with_minor_polish,0,0,0,,2: Transformers From Seq2Seq Bottlenecks to Attention and Transformers; 3: Roadmap: From Seq2Seq to Transformers; 4: Sequence-to-Sequence (seq2seq): Basic Idea; 5: Seq2Seq: Encoder Reads the Input; 6: Seq2Seq: Final Encoder State; 7: Seq2Seq: Decoder Initialization; 8: Seq2Seq: Predicting the First Token; 9: Seq2Seq: Completing the Decoding Process; 10: Seq2Seq: Training with Teacher Forcing; 11: Seq2Seq: Information Bottleneck; 12: Replacing Recurrence with Self-Attention; 13: Attention: The Decoder Looks Back at the Whole Input; 14: Attention: Forming a Context Vector; 15: Attention: Measuring Relevance; 16: Attention: Normalized Attention Weights; 17: Attention: Interpreting Alignment; 18: Self-Attention: Tokens Attend to One Another; 19: Attention: Alignment Improves Seq2Seq,2: Transformers From Seq2Seq Bottlenecks to Attention and Transformers (48 words); 2: Transformers From Seq2Seq Bottlenecks to Attention and Transformers (visual explanation short); 3: Roadmap: From Seq2Seq to Transformers (45 words); 3: Roadmap: From Seq2Seq to Transformers (visual explanation short),,,4 potentially under-explained slide(s)
