lecture_number,lecture_title,slide_number,slide_title,core_concept,slide_role,concept_group,prerequisite_concept,next_concept,estimated_teaching_minutes,logical_boundary_after_slide,boundary_strength,boundary_reason,notes_for_future_script
9,LLM,15,Fine-Tuning Example: Question Answering,Fine-Tuning Example: Question Answering,exercise,BERT pretraining and fine-tuning examples,Fine-Tuning Example: Sentiment Analysis,Fine-Tuning Example: Named Entity Recognition,1.5,no,weak,Continue through the current concept group 'BERT pretraining and fine-tuning examples'; stopping here would interrupt the conceptual sequence.,Pause for learner reasoning before revealing or discussing the answer.
9,LLM,16,Fine-Tuning Example: Named Entity Recognition,Fine-Tuning Example: Named Entity Recognition,example,BERT pretraining and fine-tuning examples,Fine-Tuning Example: Question Answering,GPT autoregressive modeling,1.2,yes,strong,"Completes the concept group 'BERT pretraining and fine-tuning examples' and the next slide begins 'GPT autoregressive modeling'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",Walk through the example step by step; avoid summarizing before the learner sees the complete case. Add a brief recap or checkpoint here before moving on.
9,LLM,17,GPT vs BERT Encoder-only vs. Decoder-only,GPT vs BERT Encoder-only vs. Decoder-only,transition,GPT BERT comparison and autoregressive next-token prediction,BERT encoder-only modeling,BERT,0.7,no,weak,Continue through the current concept group 'GPT BERT comparison and autoregressive next-token prediction'; stopping here would interrupt the conceptual sequence.,Use this slide as a bridge; preview the next concept without overloading the slide.
9,LLM,18,BERT,BERT,definition,GPT BERT comparison and autoregressive next-token prediction,GPT vs BERT Encoder-only vs. Decoder-only,GPT Uses the Transformer Decoder,1.0,no,weak,Continue through the current concept group 'GPT BERT comparison and autoregressive next-token prediction'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
9,LLM,19,GPT Uses the Transformer Decoder,GPT Uses the Transformer Decoder,definition,GPT BERT comparison and autoregressive next-token prediction,BERT,Autoregressive Language Models,1.0,no,weak,Continue through the current concept group 'GPT BERT comparison and autoregressive next-token prediction'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
9,LLM,20,Autoregressive Language Models,Autoregressive Language Models,definition,GPT BERT comparison and autoregressive next-token prediction,GPT Uses the Transformer Decoder,Next-Token Prediction Example,1.0,no,weak,Continue through the current concept group 'GPT BERT comparison and autoregressive next-token prediction'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
9,LLM,21,Next-Token Prediction Example,Next-Token Prediction Example,example,GPT BERT comparison and autoregressive next-token prediction,Autoregressive Language Models,Few-shot and in-context learning,1.2,yes,strong,"Completes the concept group 'GPT BERT comparison and autoregressive next-token prediction' and the next slide begins 'Few-shot and in-context learning'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",Walk through the example step by step; avoid summarizing before the learner sees the complete case. Add a brief recap or checkpoint here before moving on.
9,LLM,22,Few-Shot Learning,Few-Shot Learning,definition,Few-shot in-context learning and scaling laws,Autoregressive LMs,In-Context Learning,1.0,no,weak,Continue through the current concept group 'Few-shot in-context learning and scaling laws'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
9,LLM,23,In-Context Learning,In-Context Learning,definition,Few-shot in-context learning and scaling laws,Few-Shot Learning,Scaling Laws,1.0,no,weak,Continue through the current concept group 'Few-shot in-context learning and scaling laws'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
9,LLM,24,Scaling Laws,Scaling Laws,definition,Few-shot in-context learning and scaling laws,In-Context Learning,Alignment and RLHF,1.0,yes,strong,"Completes the concept group 'Few-shot in-context learning and scaling laws' and the next slide begins 'Alignment and RLHF'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",State the key definition carefully and connect it to the previous slide. Add a brief recap or checkpoint here before moving on.
9,LLM,25,"InstructGPT, a sibling to ChatGPT","InstructGPT, a sibling to ChatGPT",definition,Instruction tuning reward modeling and RLHF,Pretrained LLM behavior,Why Alignment Matters,1.0,no,weak,Continue through the current concept group 'Instruction tuning reward modeling and RLHF'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
9,LLM,26,Why Alignment Matters,Why Alignment Matters,motivation,Instruction tuning reward modeling and RLHF,"InstructGPT, a sibling to ChatGPT",Survey Interface,0.9,no,weak,Continue through the current concept group 'Instruction tuning reward modeling and RLHF'; stopping here would interrupt the conceptual sequence.,Use this slide to establish why the topic matters before adding formal detail.
9,LLM,27,Survey Interface,Survey Interface,definition,Instruction tuning reward modeling and RLHF,Why Alignment Matters,Step 1: Supervised Fine-Tuning,1.0,no,weak,Continue through the current concept group 'Instruction tuning reward modeling and RLHF'; stopping here would interrupt the conceptual sequence.,State the key definition carefully and connect it to the previous slide.
9,LLM,28,Step 1: Supervised Fine-Tuning,Step 1: Supervised Fine-Tuning,algorithm,Instruction tuning reward modeling and RLHF,Survey Interface,Step 2: Train a Reward Model,1.3,no,weak,Continue through the current concept group 'Instruction tuning reward modeling and RLHF'; stopping here would interrupt the conceptual sequence.,"Narrate the procedure in order and emphasize inputs, outputs, and update rules."
9,LLM,29,Step 2: Train a Reward Model,Step 2: Train a Reward Model,algorithm,Instruction tuning reward modeling and RLHF,Step 1: Supervised Fine-Tuning,Step 3: Optimize with RLHF,1.3,no,weak,Continue through the current concept group 'Instruction tuning reward modeling and RLHF'; stopping here would interrupt the conceptual sequence.,"Narrate the procedure in order and emphasize inputs, outputs, and update rules."
9,LLM,30,Step 3: Optimize with RLHF,Step 3: Optimize with RLHF,algorithm,Instruction tuning reward modeling and RLHF,Step 2: Train a Reward Model,Main Result: InstructGPT,1.3,no,weak,Continue through the current concept group 'Instruction tuning reward modeling and RLHF'; stopping here would interrupt the conceptual sequence.,"Narrate the procedure in order and emphasize inputs, outputs, and update rules."
9,LLM,31,Main Result: InstructGPT,Main Result: InstructGPT,definition,Instruction tuning reward modeling and RLHF,Step 3: Optimize with RLHF,LLM summary,1.0,yes,strong,"Completes the concept group 'Instruction tuning reward modeling and RLHF' and the next slide begins 'LLM summary'. This is a natural stopping point without cutting a derivation, algorithm, example, architecture explanation, or comparison.",State the key definition carefully and connect it to the previous slide. Add a brief recap or checkpoint here before moving on.
9,LLM,32,Summary,Summary,summary,LLM summary,Pretraining fine-tuning and alignment,Next lecture on vision transformers,0.8,yes,strong,Ends the lecture after completing 'LLM summary'.,Use this slide to consolidate the preceding concept group and prepare a checkpoint. Add a brief recap or checkpoint here before moving on.
